Name,MH 60  10.08%,
Chord(mm),100,
Radius(mm),0,
Thickness(%),100,
Origin(%),0,
Pitch(deg),0,
,,
Airfoil surface,,
X(mm),Y(mm),Z(mm)
100.000000,0.000000,-400.0
99.666580,-0.010721,-400.0
98.657699,-0.021857,-400.0
96.985338,0.016906,-400.0
94.694030,0.139128,-400.0
91.831569,0.361553,-400.0
88.456977,0.701751,-400.0
84.646618,1.162313,-400.0
80.476307,1.726953,-400.0
76.017397,2.372635,-400.0
71.339610,3.070281,-400.0
66.509436,3.783692,-400.0
61.580456,4.470067,-400.0
56.592867,5.096619,-400.0
51.585200,5.640144,-400.0
46.593824,6.087194,-400.0
41.660837,6.433255,-400.0
36.833791,6.674160,-400.0
32.159784,6.804728,-400.0
27.685111,6.819799,-400.0
23.450489,6.712378,-400.0
19.489756,6.480794,-400.0
15.834304,6.127542,-400.0
12.511624,5.659207,-400.0
9.547170,5.085765,-400.0
6.963185,4.419104,-400.0
4.775994,3.671156,-400.0
2.991067,2.861875,-400.0
1.614537,2.022454,-400.0
0.650380,1.192520,-400.0
0.155861,0.520084,-400.0
0.063331,0.307449,-400.0
0.010922,0.111324,-400.0
0.000058,-0.007665,-400.0
0.014333,-0.112647,-400.0
0.061755,-0.210560,-400.0
0.141059,-0.311039,-400.0
0.306610,-0.465456,-400.0
0.522627,-0.623727,-400.0
0.629135,-0.692140,-400.0
1.755374,-1.218235,-400.0
3.382614,-1.721270,-400.0
5.485182,-2.179248,-400.0
8.041207,-2.573528,-400.0
11.030623,-2.887570,-400.0
14.435698,-3.112840,-400.0
18.232147,-3.248771,-400.0
22.391347,-3.299586,-400.0
26.875457,-3.275882,-400.0
31.638866,-3.186979,-400.0
36.631877,-3.043106,-400.0
41.801505,-2.855000,-400.0
47.089651,-2.636136,-400.0
52.434002,-2.397326,-400.0
57.770187,-2.149393,-400.0
63.032585,-1.899669,-400.0
68.156522,-1.655011,-400.0
73.078910,-1.419344,-400.0
77.739590,-1.196792,-400.0
82.081805,-0.989681,-400.0
86.051691,-0.801475,-400.0
89.599003,-0.632325,-400.0
92.679048,-0.482388,-400.0
95.253024,-0.349330,-400.0
97.288501,-0.230894,-400.0
98.765801,-0.120259,-400.0
99.681811,-0.032621,-400.0
100.000000,0.000000,-400.0
,,
Camber line,,
X(mm),Y(mm),
0.010922,0.111324,
0.000058,-0.003833,
0.014333,0.005721,
0.061755,0.045496,
0.141059,0.087515,
0.306610,0.129807,
0.522627,0.197539,
0.629135,0.235746,
1.755374,0.445051,
3.382614,0.659066,
5.485182,0.867214,
8.041207,1.061851,
11.030623,1.242577,
14.435698,1.408784,
18.232147,1.555246,
22.391347,1.675432,
26.875457,1.761689,
31.638866,1.809752,
36.631877,1.818347,
41.801505,1.784193,
47.089651,1.703325,
52.434002,1.575345,
57.770187,1.399664,
63.032585,1.184092,
68.156522,0.942704,
73.078910,0.695769,
77.739590,0.463229,
82.081805,0.259948,
86.051691,0.095503,
89.599003,-0.022852,
92.679048,-0.093344,
95.253024,-0.120010,
97.288501,-0.110507,
98.765801,-0.070461,
99.681811,-0.021426,
100.000000,0.000000,
,,
Chord line,,
X(mm),Y(mm),
0.000000,0.000000,
100.000000,0.000000,
